product_title,product_id,variant_id,sku,product_collection
Heart & Soul - 3 Item,109303332882,1052167307282,764204108572,Heart & Soul - 3 Item
Heart & Soul - 5 Item,109301366802,1052164456466,764204108565,Heart & Soul - 5 Item
Modern Muse - 3 Item,91236466706,930204057618,764204046874,Modern Muse - 5 Item
Modern Muse - 5 Item,91236368402,930192949266,764204046867,Modern Muse - 3 Item
Give Me Amore - 3 Item,138427793426,1340711501842,764204126842,Give Me Amore - 3 Item
Give Me Amore - 5 Item,138427695122,1340711272466,764204126866,Give Me Amore - 5 Item
Sweetest Thing - 3 Item,138427596818,1340709568530,764204046881,Sweetest Thing - 3 Item
Sweetest Thing - 5 Item,138427465746,1340707569682,764204126859,Sweetest Thing - 5 Item
All-Star - 3 Items,175542632466,1599425806354,764204132072,All-Star - 3 Items
All-Star - 5 Items,175542304786,1599425282066,764204132089,All-Star - 5 Items
Set The Pace - 3 Items,175541518354,1599422562322,764204132058,Set The Pace - 3 Items
Set The Pace - 5 Items,175541026834,1599420006418,764204132065,Set The Pace - 5 Items
