new_product_title,incoming_product_id,threepk,outgoing_product_id
Modern Muse - 3 Item,91236368402,t,91236466706
Modern Muse - 5 Item,91236368402,f,91236368402
Heart & Soul - 3 Item,109301366802,t,109303332882
Heart & Soul - 5 Item,109301366802,f,109301366802
Give Me Amore - 3 Item,138427695122,t,138427793426
Give Me Amore - 5 Item,138427695122,f,138427695122
Sweetest Thing - 3 Item,138427465746,t,138427596818
Sweetest Thing - 5 Item,138427465746,f,138427465746
All Star - 3 Item,175542304786,t,175542632466
All Star - 5 Item,175542304786,f,175542304786
Set the Pace - 3 Item,175541026834,t,175541518354
Set the Pace - 5 Item,175541026834,f,175541026834
