product_title,product_id,3pk
In the Zone 3 Item,614522486816,t
In the Zone 5 Item,614522748960,f
In the Zone 3 Item Autorenew,614826967072,t
In the Zone 5 Item Autorenew,614839353376,f
Desert Sage 3 Item,614505742368,t
Desert Sage 5 Item,614505873440,f
Desert Sage 3 Item Autorenew,633519439904,t
Desert Sage 5 Item Autorenew,633513508896,f
May Flowers 3 Item,746988568668,t
May Flowers 3 Item Autorenew,746988601436,t
May Flowers 5 Item,746988699740,f
May Flowers 5 Item Autorenew,746988732508,f
