product_title,product_id,3pk
In the Zone 3 Item,614522486816,t
In the Zone 5 Item,614522748960,f
In the Zone 3 Item Autorenew,614826967072,t
In the Zone 5 Item Autorenew,614839353376,f
Desert Sage 3 Item,614505742368,t
Desert Sage 5 Item,614505873440,f
Desert Sage 3 Item Autorenew,633519439904,t
Desert Sage 5 Item Autorenew,633513508896,f
May Flowers 3 Item,746988568668,t
May Flowers 3 Item Autorenew,746988601436,t
May Flowers 5 Item,746988699740,f
May Flowers 5 Item Autorenew,746988732508,f
Ros All Day - 3 Items,780276236380,t
Ros All Day - 3 Items  Auto renew,782679048284,t
Ros All Day - 5 Items,780276269148,f
Ros All Day - 5 Items  Auto renew,782678851676,f
Print Paradise - 3 Items,1337218170972,t
Print Paradise - 5 Items,1337218203740,f
Print Paradise - 3 Items Auto renew,1341200728156,t
Print Paradise - 5 Items Auto renew,1341200760924,f
Meet Your Match - 3 Items,1371333656668,t
Meet Your Match - 5 Items,1371333689436,f
Meet Your Match - 3 Items Auto renew,1375608274995,t
Meet Your Match - 5 Items Auto renew,1375608406067,f
